#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       4.256947e-02       4.971306e-03       2.018152e-02       1.875591e-01       8.063588e-02       1.288731e-01
         500       7.808440e-02       3.992248e-03       4.496393e-02       2.140607e-01       6.506981e-02       1.327404e-01
        1000       8.153502e-02       8.231138e-03       3.949139e-02       2.866413e-01       1.117947e-01       1.796229e-01
        1500       8.755692e-02       8.002505e-03       4.791515e-02       5.755500e-01       6.483986e-02       2.575728e-01
        2000       8.436879e-02       6.425264e-03       4.379531e-02       4.065919e-01       8.249193e-02       2.138212e-01
        2500       5.719175e-02       9.681319e-03       3.116454e-02       2.739471e-01       1.076266e-01       1.828609e-01
        3000       6.085628e-02       1.154952e-02       3.951964e-02       4.384759e-01       1.087569e-01       2.430910e-01
        3500       6.039104e-02       9.966164e-03       3.781657e-02       1.846416e-01       8.273515e-02       1.317923e-01
        4000       7.000867e-02       9.509027e-03       3.782827e-02       2.868744e-01       9.175287e-02       1.763273e-01
        4500       4.267530e-02       1.136185e-02       2.883022e-02       1.842428e-01       1.091619e-01       1.438437e-01
        5000       4.385420e-02       1.266462e-02       3.144075e-02       2.222618e-01       9.000380e-02       1.570312e-01
        5500       9.926166e-02       8.908248e-03       4.890428e-02       3.895449e-01       7.474555e-02       2.176461e-01
        6000       4.040579e-02       8.931977e-03       2.760594e-02       1.893866e-01       8.222239e-02       1.352997e-01
