#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       3.753322e-02       2.518427e-03       1.917137e-02       1.186629e-01       4.157626e-02       7.500778e-02
         500       4.079428e-02       8.414074e-03       2.429723e-02       2.370448e-01       3.442245e-02       1.285099e-01
        1000       3.642614e-02       6.916842e-03       1.653572e-02       1.735133e-01       6.237403e-02       1.073905e-01
        1500       1.035619e-01       4.655745e-03       4.210685e-02       1.226473e-01       6.882435e-02       9.624506e-02
        2000       3.008020e-02       4.494502e-03       1.637624e-02       2.062885e-01       2.991044e-02       1.008860e-01
        2500       5.972510e-02       7.182594e-03       2.949539e-02       1.067434e-01       4.848819e-02       7.510441e-02
        3000       6.177106e-02       6.391599e-03       2.951728e-02       1.508281e-01       5.402733e-02       9.979614e-02
        3500       3.388418e-02       5.810249e-03       2.108194e-02       1.913342e-01       3.279870e-02       1.191609e-01
        4000       6.959489e-02       8.354532e-03       3.138086e-02       9.150803e-02       5.459721e-02       7.838591e-02
        4500       3.827539e-02       7.770158e-03       2.214067e-02       1.409875e-01       5.835599e-02       9.878934e-02
        5000       3.275327e-02       2.565379e-03       1.874203e-02       1.796366e-01       5.354915e-02       9.691924e-02
        5500       8.984135e-02       1.532332e-02       3.591958e-02       1.990755e-01       5.696129e-02       1.286472e-01
        6000       3.342923e-02       6.924519e-03       2.153901e-02       2.174718e-01       6.489405e-02       1.303849e-01
