#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       3.128798e-02       2.320952e-03       1.723970e-02       1.001655e-01       5.194827e-02       7.050749e-02
         500       3.641631e-02       4.130669e-03       2.255260e-02       1.335823e-01       5.689082e-02       9.595180e-02
        1000       3.329905e-02       4.878184e-03       1.720056e-02       1.761259e-01       5.985945e-02       1.202566e-01
        1500       8.570287e-02       6.677417e-03       3.573470e-02       1.709450e-01       5.325217e-02       1.204249e-01
        2000       3.267034e-02       4.283227e-03       1.527625e-02       1.857972e-01       7.322070e-02       1.152647e-01
        2500       7.073119e-02       4.849154e-03       2.940547e-02       1.272437e-01       7.376122e-02       9.757428e-02
        3000       4.079841e-02       3.063095e-03       2.122886e-02       1.428582e-01       7.830366e-02       1.064681e-01
        3500       3.189483e-02       7.334790e-03       1.995358e-02       1.802463e-01       3.752508e-02       1.038548e-01
        4000       8.890860e-02       5.588412e-03       3.647634e-02       1.427514e-01       5.827202e-02       1.109272e-01
        4500       3.750123e-02       6.814592e-03       1.938916e-02       2.237965e-01       4.696979e-02       1.289408e-01
        5000       3.410000e-02       4.167368e-03       1.837471e-02       1.730910e-01       6.203564e-02       1.029029e-01
        5500       8.941412e-02       5.519985e-03       3.598534e-02       1.446685e-01       7.681417e-02       1.103534e-01
        6000       3.991765e-02       3.103579e-03       1.682160e-02       1.137137e-01       3.489862e-02       8.125091e-02
