#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       2.393606e-02       2.154229e-05       1.191724e-02       3.141614e-02       1.342601e-02       2.365494e-02
         500       5.318469e-01       1.698846e-02       2.856761e-01       8.284040e-01       4.363555e-01       6.362871e-01
        1000       4.613615e-01       6.706582e-03       2.658460e-01       7.673005e-01       4.903134e-01       6.365234e-01
        1500       4.653708e-01       2.444581e-03       2.597811e-01       7.475692e-01       5.020463e-01       6.321805e-01
        2000       5.177702e-01       4.367329e-03       2.785786e-01       8.469699e-01       4.384435e-01       6.531654e-01
        2500       4.626756e-01       4.995012e-03       2.578187e-01       7.094055e-01       4.775685e-01       5.980993e-01
        3000       5.249558e-01       4.011347e-03       2.886642e-01       8.543532e-01       4.297279e-01       6.478408e-01
        3500       4.480148e-01       3.830954e-03       2.535361e-01       7.554941e-01       4.758502e-01       6.218512e-01
        4000       4.904086e-01       1.230231e-02       2.718422e-01       8.479590e-01       4.411303e-01       6.501589e-01
        4500       4.668022e-01       6.405069e-03       2.544796e-01       8.408268e-01       4.773891e-01       6.699536e-01
        5000       4.856652e-01       3.263707e-03       2.674619e-01       8.223919e-01       4.797014e-01       6.556945e-01
        5500       4.942883e-01       7.275846e-04       2.701099e-01       8.958195e-01       4.377211e-01       6.800979e-01
        6000       4.621229e-01       1.061500e-03       2.450935e-01       7.884357e-01       5.232346e-01       6.604767e-01
