#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       4.072872e-02       1.066766e-04       1.930765e-02       9.255212e-02       7.141442e-02       8.087300e-02
         500       4.606139e-01       1.596510e-04       2.604633e-01       7.277763e-01       4.681252e-01       6.024436e-01
        1000       5.203688e-01       6.486917e-05       2.841255e-01       8.614458e-01       4.362716e-01       6.558787e-01
        1500       5.148410e-01       1.717610e-03       2.681111e-01       8.758458e-01       4.289248e-01       6.551757e-01
        2000       4.679707e-01       4.082545e-04       2.348684e-01       8.138543e-01       5.482499e-01       6.849818e-01
        2500       3.309766e-01       2.947305e-04       1.778664e-01       7.391196e-01       6.909861e-01       7.183220e-01
        3000       4.929513e-01       1.983300e-03       2.701093e-01       8.822284e-01       4.448131e-01       6.740940e-01
        3500       4.301969e-01       3.908574e-04       2.103592e-01       8.462633e-01       4.521899e-01       6.516358e-01
        4000       4.585089e-01       3.522404e-04       2.635160e-01       8.459920e-01       4.881598e-01       6.700674e-01
        4500       3.728401e-01       2.436384e-04       2.094442e-01       5.630008e-01       5.013228e-01       5.332266e-01
        5000       4.632687e-01       1.468111e-03       2.646019e-01       8.443075e-01       4.924502e-01       6.764847e-01
        5500       4.963768e-01       1.265238e-03       2.623208e-01       8.755406e-01       4.163638e-01       6.547218e-01
        6000       3.389583e-01       7.258017e-04       1.887360e-01       8.269032e-01       6.462757e-01       7.414624e-01
