#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       5.010548e-02       1.976407e-03       2.561981e-02       2.280594e-01       1.407791e-01       1.941562e-01
         500       5.163304e-02       5.560195e-03       2.796177e-02       2.932692e-01       2.104706e-01       2.423178e-01
        1000       8.760789e-02       1.919133e-03       4.387479e-02       1.734444e-01       1.059191e-01       1.333417e-01
        1500       8.850447e-02       5.833057e-03       4.854835e-02       1.254458e-01       6.691830e-02       9.509628e-02
        2000       4.851062e-01       2.729144e-03       2.325330e-01       3.540765e-01       5.975898e-02       2.089032e-01
        2500       5.350950e-01       3.231571e-03       2.498452e-01       1.665150e-01       3.549867e-02       1.106658e-01
        3000       5.277498e-01       7.273975e-03       2.493669e-01       1.041541e-01       2.349798e-02       6.553235e-02
        3500       2.968132e-01       1.048530e-03       1.445886e-01       1.459103e-01       9.225669e-02       1.180437e-01
        4000       5.302134e-01       9.235112e-03       2.549895e-01       3.947430e-01       1.513803e-01       2.670033e-01
        4500       1.495020e-01       5.014418e-03       7.958987e-02       8.389150e-02       4.209710e-02       6.459672e-02
        5000       5.065631e-01       1.043471e-02       2.524742e-01       4.040532e-01       1.884477e-01       3.198291e-01
        5500       2.487509e-01       3.891591e-03       1.255777e-01       1.723341e-01       1.324779e-01       1.495704e-01
        6000       5.499378e-01       1.157516e-02       2.645155e-01       5.540776e-01       3.300647e-01       4.463489e-01
