#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       6.237587e-02       3.191462e-03       3.359521e-02       2.751641e-01       8.070039e-02       1.827272e-01
         500       4.002910e-01       1.763165e-03       2.309563e-01       6.455963e-01       4.924789e-01       5.722096e-01
        1000       5.269616e-01       1.005865e-02       2.852043e-01       7.967121e-01       4.347394e-01       6.301152e-01
        1500       5.197506e-01       1.123467e-03       2.855727e-01       7.983261e-01       4.210506e-01       6.281493e-01
        2000       4.635003e-01       4.240483e-03       2.557750e-01       6.616896e-01       4.293347e-01       5.613522e-01
        2500       5.919979e-01       4.783750e-03       3.030622e-01       8.370040e-01       3.956990e-01       6.191906e-01
        3000       5.052402e-01       2.003823e-04       2.795090e-01       7.613345e-01       4.224241e-01       6.040348e-01
        3500       5.313646e-01       3.583526e-03       2.868631e-01       7.888058e-01       4.092033e-01       6.135492e-01
        4000       5.431555e-01       6.633390e-03       2.888649e-01       7.981266e-01       3.970550e-01       6.193363e-01
        4500       4.945405e-01       3.330864e-03       2.702500e-01       7.078875e-01       4.379921e-01       5.874060e-01
        5000       5.551087e-01       1.929167e-03       2.951593e-01       8.415018e-01       4.264005e-01       6.342282e-01
        5500       4.778906e-01       3.744325e-03       2.662431e-01       7.057193e-01       4.349755e-01       5.894315e-01
        6000       5.038307e-01       4.578955e-03       2.776824e-01       7.681097e-01       4.300413e-01       6.189459e-01
