#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       3.402995e-02       1.131683e-04       1.765694e-02       7.417438e-02       3.848829e-02       5.685097e-02
         500       4.597699e-01       6.658940e-04       2.593284e-01       7.655500e-01       5.119674e-01       6.418074e-01
        1000       4.542616e-01       3.076907e-04       2.559125e-01       6.595625e-01       4.890664e-01       5.770857e-01
        1500       5.271965e-01       1.207500e-04       2.880525e-01       7.877129e-01       4.399405e-01       6.215226e-01
        2000       5.997529e-01       8.479542e-04       3.086633e-01       8.324344e-01       3.928545e-01       6.136741e-01
        2500       5.769225e-01       1.191335e-03       3.060697e-01       7.349248e-01       4.109732e-01       5.787890e-01
        3000       5.048718e-01       5.085891e-04       2.591133e-01       4.457528e-01       4.112913e-01       4.337393e-01
        3500       5.606777e-01       9.876103e-04       2.981518e-01       7.162199e-01       4.246901e-01       5.753397e-01
        4000       5.826646e-01       9.760449e-04       3.009741e-01       8.425965e-01       4.050619e-01       6.242792e-01
        4500       5.460025e-01       2.754016e-03       2.904805e-01       8.524788e-01       4.226842e-01       6.424293e-01
        5000       4.376650e-01       5.563360e-04       2.422134e-01       7.052528e-01       4.986177e-01       6.085026e-01
        5500       4.682928e-01       2.324508e-04       2.488774e-01       8.200448e-01       5.281237e-01       6.768469e-01
        6000       5.090411e-01       1.146380e-03       2.694737e-01       8.899350e-01       4.243550e-01       6.607003e-01
