#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn    rmse_v_val  rmse_v_trn         lr
   4600      2.10e+00    1.97e+00      7.58e-02    4.85e-01      1.80e-01    6.20e-02      1.63e-01    2.81e-01    9.7e-05
   4700      2.62e+00    1.09e+00      1.53e-01    8.78e-02      2.48e-01    9.88e-02      1.37e-01    1.32e-01    9.2e-05
   4800      2.78e+00    6.66e+00      9.64e-02    8.45e-01      2.74e-01    6.25e-01      1.85e-01    4.05e-01    8.7e-05
   4900      2.36e+00    6.43e+00      7.28e-02    8.03e-01      2.17e-01    6.20e-01      1.84e-01    4.17e-01    8.3e-05
   5000      2.20e+00    1.90e+00      5.52e-02    4.69e-01      2.32e-01    4.95e-02      1.09e-01    3.20e-01    7.9e-05
   5100      1.99e+00    1.86e+00      6.19e-02    4.29e-02      2.13e-01    2.04e-01      1.39e-01    1.06e-01    7.5e-05
   5200      1.56e+00    2.21e+00      1.84e-01    4.73e-02      1.33e-01    2.50e-01      1.45e-01    1.13e-01    7.1e-05
   5300      1.92e+00    2.54e+00      6.48e-02    1.54e-01      2.02e-01    2.72e-01      1.49e-01    2.00e-01    6.8e-05
   5400      3.19e+00    1.97e+00      2.87e-02    1.39e-01      3.75e-01    2.25e-01      1.43e-01    8.35e-02    6.4e-05
   5500      2.19e+00    1.81e+00      5.46e-02    7.92e-02      2.38e-01    2.18e-01      1.77e-01    8.97e-02    6.1e-05
   5600      1.99e+00    1.84e+00      5.56e-02    7.48e-02      2.24e-01    2.25e-01      1.51e-01    1.08e-01    5.8e-05
   5700      2.89e+00    1.62e+00      2.98e-01    5.45e-03      3.30e-01    1.70e-01      2.08e-01    1.63e-01    5.5e-05
   5800      1.71e+00    3.64e+00      8.44e-02    3.02e-03      1.92e-01    4.84e-01      1.48e-01    1.12e-01    5.3e-05
   5900      1.66e+00    5.32e+00      5.75e-02    8.45e-01      1.93e-01    6.20e-01      1.35e-01    3.89e-01    5.0e-05
   6000      1.48e+00    1.23e+00      1.79e-01    1.63e-02      1.40e-01    1.33e-01      1.75e-01    1.33e-01    4.8e-05
   6100      1.85e+00    3.37e+00      3.54e-02    1.57e-02      2.56e-01    4.82e-01      1.35e-01    1.11e-01    4.5e-05
   6200      1.60e+00    2.66e+00      2.58e-01    6.66e-02      1.53e-01    3.87e-01      1.56e-01    1.25e-01    4.3e-05
   6300      1.35e+00    9.31e-01      1.73e-02    4.15e-02      1.67e-01    1.20e-01      1.50e-01    1.60e-01    4.1e-05
   6400      1.41e+00    4.89e+00      4.84e-02    8.42e-01      1.78e-01    6.26e-01      1.44e-01    3.82e-01    3.9e-05
   6500      1.30e+00    1.78e+00      4.97e-02    2.85e-02      1.39e-01    2.71e-01      1.60e-01    1.27e-01    3.7e-05
   6600      1.12e+00    2.48e+00      1.16e-02    7.90e-02      1.42e-01    3.96e-01      1.27e-01    1.07e-01    3.5e-05
   6700      1.49e+00    1.14e+00      1.94e-01    1.42e-03      1.94e-01    1.38e-01      1.08e-01    1.35e-01    3.3e-05
   6800      2.18e+00    7.00e-01      2.96e-01    1.16e-02      3.10e-01    9.58e-02      1.93e-01    1.41e-01    3.2e-05
   6900      1.78e+00    1.91e+00      2.99e-02    1.65e-02      2.68e-01    2.94e-01      1.36e-01    2.19e-01    3.0e-05
   7000      1.31e+00    2.67e+00      4.37e-02    4.51e-03      1.76e-01    4.69e-01      1.53e-01    1.10e-01    2.9e-05
   7100      1.17e+00    1.38e+00      1.24e-02    1.30e-01      1.65e-01    2.25e-01      1.33e-01    9.02e-02    2.7e-05
   7200      1.27e+00    1.37e+00      1.03e-02    1.02e-01      1.58e-01    2.33e-01      1.65e-01    1.07e-01    2.6e-05
   7300      1.24e+00    6.67e-01      1.49e-02    7.18e-02      1.90e-01    9.95e-02      1.33e-01    1.25e-01    2.5e-05
   7400      1.96e+00    1.37e+00      7.78e-02    1.45e-01      3.42e-01    2.26e-01      1.28e-01    1.11e-01    2.3e-05
   7500      1.20e+00    1.14e+00      1.00e-01    1.33e-02      1.63e-01    1.97e-01      1.42e-01    1.06e-01    2.2e-05
   7600      1.15e+00    4.04e+00      3.37e-02    8.42e-01      1.71e-01    6.23e-01      1.39e-01    3.71e-01    2.1e-05
   7700      1.54e+00    1.54e+00      1.51e-01    1.26e-01      2.32e-01    2.61e-01      1.87e-01    1.85e-01    2.0e-05
   7800      1.30e+00    9.32e-01      8.06e-02    3.69e-03      2.03e-01    1.89e-01      1.47e-01    1.18e-01    1.9e-05
   7900      1.22e+00    4.40e-01      1.08e-01    3.27e-02      2.26e-01    4.34e-02      1.24e-01    1.31e-01    1.8e-05
   8000      1.11e+00    8.84e-01      8.62e-02    1.98e-02      1.81e-01    1.91e-01      1.60e-01    9.42e-02    1.7e-05
   8100      8.35e-01    1.27e+00      1.27e-02    1.51e-01      1.45e-01    2.26e-01      1.12e-01    1.28e-01    1.6e-05
   8200      1.33e+00    3.75e+00      8.13e-02    8.32e-01      2.92e-01    6.36e-01      1.08e-01    3.64e-01    1.6e-05
   8300      1.07e+00    1.17e+00      1.02e-01    3.36e-01      1.68e-01    7.49e-02      1.31e-01    1.93e-01    1.5e-05
   8400      1.13e+00    1.13e+00      7.69e-02    4.98e-03      2.15e-01    1.67e-01      1.58e-01    1.61e-01    1.4e-05
   8500      1.19e+00    1.24e+00      8.29e-02    3.53e-01      2.39e-01    7.83e-02      1.56e-01    2.16e-01    1.3e-05
   8600      1.01e+00    1.20e+00      7.81e-02    1.56e-01      2.14e-01    2.38e-01      1.12e-01    1.07e-01    1.3e-05
   8700      1.43e+00    9.61e-01      1.58e-01    4.81e-03      2.65e-01    1.44e-01      1.65e-01    1.42e-01    1.2e-05
   8800      1.26e+00    7.02e-01      5.19e-02    5.23e-03      2.21e-01    1.69e-01      1.76e-01    1.15e-01    1.1e-05
   8900      8.87e-01    1.77e+00      4.01e-02    5.85e-03      1.76e-01    4.66e-01      1.20e-01    1.04e-01    1.1e-05
   9000      1.71e+00    3.02e-01      1.06e-01    1.55e-02      3.58e-01    5.09e-02      1.70e-01    8.27e-02    1.0e-05
   9100      1.03e+00    1.10e+00      8.24e-02    8.03e-03      2.30e-01    1.56e-01      1.36e-01    1.72e-01    9.8e-06
   9200      1.19e+00    1.41e+00      8.08e-02    6.04e-02      2.99e-01    3.24e-01      1.20e-01    2.11e-01    9.4e-06
   9300      9.31e-01    9.16e-01      4.97e-02    6.04e-03      1.93e-01    1.48e-01      1.22e-01    1.39e-01    8.9e-06
   9400      1.15e+00    1.21e+00      1.54e-01    4.91e-02      2.42e-01    2.59e-01      1.38e-01    2.08e-01    8.5e-06
   9500      1.56e+00    9.50e-01      2.35e-01    5.84e-03      3.48e-01    1.68e-01      1.95e-01    1.41e-01    8.0e-06
   9600      1.00e+00    8.32e-01      3.60e-02    9.20e-02      1.95e-01    2.04e-01      1.58e-01    9.60e-02    7.6e-06
   9700      9.64e-01    1.14e+00      4.71e-03    1.40e-02      1.69e-01    2.93e-01      1.47e-01    1.75e-01    7.3e-06
   9800      9.69e-01    9.31e-01      9.86e-03    4.09e-03      2.15e-01    1.61e-01      1.42e-01    1.44e-01    6.9e-06
   9900      7.85e-01    1.20e+00      1.90e-01    1.02e-02      6.39e-02    3.91e-01      1.66e-01    1.05e-01    6.2e-06
  10000      1.02e+00    4.45e-01      4.68e-02    5.93e-02      2.46e-01    7.44e-02      1.30e-01    1.24e-01    5.9e-06
  10100      1.02e+00    1.22e+00      6.19e-02    3.44e-01      1.88e-01    5.14e-02      1.70e-01    2.48e-01    5.6e-06
  10200      7.71e-01    1.39e+00      3.01e-02    6.75e-03      1.69e-01    4.68e-01      1.28e-01    1.01e-01    5.4e-06
  10300      1.04e+00    7.38e-01      1.42e-01    3.14e-03      2.08e-01    1.70e-01      1.80e-01    1.05e-01    5.1e-06
  10400      8.86e-01    8.25e-01      4.89e-02    3.79e-02      2.35e-01    2.38e-01      1.08e-01    1.28e-01    4.8e-06
  10500      1.02e+00    5.52e-01      6.57e-02    2.64e-03      1.84e-01    1.77e-01      1.65e-01    1.10e-01    4.6e-06
  10600      8.90e-01    1.22e+00      4.18e-02    7.01e-02      1.87e-01    3.35e-01      1.36e-01    2.05e-01    4.4e-06
  10700      8.59e-01    1.08e+00      1.25e-01    5.07e-03      1.79e-01    1.66e-01      1.53e-01    1.81e-01    4.2e-06
  10800      1.14e+00    2.83e-01      4.85e-02    3.32e-02      3.12e-01    6.27e-02      2.04e-01    7.67e-02    3.9e-06
  10900      8.65e-01    1.01e+00      1.61e-01    6.57e-03      1.66e-01    1.58e-01      1.38e-01    1.69e-01    3.8e-06
  11000      1.40e+00    5.31e-01      2.14e-01    3.34e-02      4.10e-01    1.77e-01      1.67e-01    1.10e-01    3.6e-06
