#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn    rmse_v_val  rmse_v_trn         lr
      0      1.18e+01    7.10e+00      5.56e-01    9.26e-02      2.16e-01    1.40e-01      5.37e-01    8.72e-01    1.0e-03
    100      1.11e+01    6.13e+00      6.13e-02    2.84e-01      3.24e-01    5.59e-02      4.72e-01    9.06e-01    9.5e-04
    200      8.65e+00    5.25e+00      8.69e-02    2.04e-02      2.37e-01    1.62e-01      4.68e-01    1.67e-01    9.0e-04
    300      7.99e+00    7.40e+00      1.98e-02    2.69e-01      2.56e-01    1.40e-01      2.56e-01    9.99e-01    8.6e-04
    400      8.57e+00    7.57e+00      1.10e-01    3.73e-02      2.63e-01    2.55e-01      3.28e-01    1.82e-01    8.2e-04
    500      9.77e+00    8.20e+00      1.92e-01    2.01e-01      2.71e-01    2.72e-01      7.27e-01    1.96e-01    7.8e-04
    600      7.46e+00    7.72e+00      6.02e-02    2.05e-01      2.31e-01    2.26e-01      4.11e-01    5.51e-01    7.4e-04
    700      6.60e+00    3.95e+00      9.43e-02    3.17e-01      2.39e-01    7.16e-03      1.39e-01    6.41e-01    7.0e-04
    800      7.42e+00    3.75e+00      6.85e-02    1.40e-01      2.41e-01    4.67e-02      4.60e-01    6.41e-01    6.7e-04
    900      5.38e+00    7.02e+00      1.31e-01    4.67e-02      1.79e-01    2.56e-01      3.11e-01    3.67e-01    6.3e-04
   1000      6.06e+00    7.90e+00      2.83e-02    4.60e-02      2.34e-01    2.76e-01      1.98e-01    5.49e-01    6.0e-04
   1100      5.12e+00    4.20e+00      7.50e-02    2.13e-01      1.62e-01    5.01e-02      4.06e-01    7.56e-01    5.7e-04
   1200      5.65e+00    3.07e+00      9.87e-02    2.29e-01      1.95e-01    1.53e-02      4.38e-01    5.59e-01    5.4e-04
   1300      4.90e+00    6.61e+00      1.86e-02    4.73e-02      1.92e-01    2.22e-01      2.38e-01    6.06e-01    5.2e-04
   1400      7.06e+00    5.78e+00      7.49e-02    1.32e-01      2.77e-01    2.31e-01      4.93e-01    3.68e-01    4.9e-04
   1500      5.35e+00    5.87e+00      3.40e-02    2.02e-02      2.31e-01    2.57e-01      2.22e-01    2.05e-01    4.7e-04
   1600      4.43e+00    2.37e+00      4.35e-02    8.52e-02      1.89e-01    3.57e-02      2.23e-01    4.68e-01    4.4e-04
   1700      5.21e+00    3.82e+00      1.97e-02    3.09e-01      2.29e-01    3.77e-02      2.93e-01    7.46e-01    4.2e-04
   1800      3.42e+00    4.38e+00      3.83e-02    1.22e-02      1.57e-01    2.06e-01      1.86e-01    1.62e-01    4.0e-04
   1900      4.11e+00    4.28e+00      7.35e-02    9.99e-02      1.79e-01    2.00e-01      2.88e-01    2.57e-01    3.8e-04
   2000      4.07e+00    4.39e+00      8.05e-02    1.18e-02      1.79e-01    2.13e-01      2.81e-01    1.95e-01    3.6e-04
   2100      3.14e+00    2.35e+00      7.43e-02    1.69e-01      1.44e-01    8.11e-02      2.09e-01    3.79e-01    3.4e-04
   2200      4.08e+00    3.08e+00      1.41e-01    6.88e-02      1.90e-01    1.47e-01      3.06e-01    1.71e-01    3.3e-04
   2300      3.78e+00    3.65e+00      6.03e-02    6.86e-02      1.74e-01    1.85e-01      2.93e-01    2.58e-01    3.1e-04
