#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn    rmse_v_val  rmse_v_trn         lr
      0      1.49e+01    7.66e+00      9.35e-01    5.50e-01      2.22e-01    5.32e-02      6.27e-01    1.04e+00    1.0e-03
    100      9.78e+00    1.22e+01      4.57e-02    5.41e-02      2.82e-01    3.55e-01      4.20e-01    4.43e-01    9.5e-04
    200      1.98e+01    6.39e+00      9.87e-02    3.19e-01      6.42e-01    5.19e-02      2.69e-01    9.70e-01    9.0e-04
    300      1.41e+01    1.25e+01      1.92e-01    2.68e-01      4.54e-01    3.34e-01      1.96e-01    8.85e-01    8.6e-04
    400      1.11e+01    1.11e+01      3.21e-01    2.32e-01      3.02e-01    3.26e-01      7.50e-01    7.00e-01    8.2e-04
    500      1.01e+01    1.80e+01      3.58e-01    1.38e-01      2.84e-01    6.15e-01      8.56e-01    6.70e-01    7.8e-04
    600      9.84e+00    6.72e+00      1.83e-01    3.94e-02      2.94e-01    2.44e-01      7.54e-01    1.03e-01    7.4e-04
    700      1.31e+01    1.06e+01      9.79e-03    1.47e-01      4.87e-01    3.54e-01      1.66e-01    6.04e-01    7.0e-04
    800      6.00e+00    3.01e+01      1.68e-01    1.29e+00      1.93e-01    1.12e+00      3.39e-01    7.57e-01    6.7e-04
    900      7.64e+00    8.09e+00      4.53e-02    2.81e-02      2.76e-01    3.09e-01      3.11e-01    2.15e-01    6.3e-04
   1000      1.48e+01    2.37e+00      6.26e-02    3.05e-02      5.90e-01    6.10e-02      1.87e-01    3.51e-01    6.0e-04
   1100      5.38e+00    6.21e+00      4.11e-02    7.17e-03      2.12e-01    2.45e-01      2.35e-01    2.03e-01    5.7e-04
   1200      7.03e+00    7.25e+00      5.52e-02    9.61e-02      2.83e-01    2.51e-01      2.64e-01    5.92e-01    5.4e-04
   1300      7.18e+00    6.47e+00      5.86e-02    9.82e-02      3.05e-01    2.68e-01      1.97e-01    2.88e-01    5.2e-04
   1400      6.30e+00    3.16e+00      5.95e-02    4.09e-01      2.74e-01    4.96e-02      1.80e-01    4.50e-01    4.9e-04
   1500      9.14e+00    7.03e+00      2.12e-01    9.33e-03      3.95e-01    3.01e-01      3.72e-01    2.86e-01    4.7e-04
   1600      5.93e+00    4.79e+00      8.49e-02    2.83e-02      2.60e-01    2.20e-01      2.86e-01    1.30e-01    4.4e-04
   1700      7.72e+00    4.17e+00      3.30e-01    3.79e-02      3.30e-01    1.87e-01      3.48e-01    3.52e-01    4.2e-04
   1800      1.05e+01    5.34e+00      3.47e-01    4.23e-02      5.00e-01    2.62e-01      4.51e-01    9.84e-02    4.0e-04
   1900      4.31e+00    3.81e+00      1.30e-02    3.75e-02      2.00e-01    1.84e-01      2.09e-01    2.77e-01    3.8e-04
   2000      4.97e+00    4.90e+00      1.53e-01    5.97e-02      2.38e-01    2.18e-01      1.84e-01    4.10e-01    3.6e-04
