#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn    rmse_v_val  rmse_v_trn         lr
      0      1.80e+01    1.55e+01      1.12e+00    1.17e+00      3.19e-01    2.81e-01      6.10e-01    8.04e-01    1.0e-03
    100      1.61e+01    1.03e+01      2.18e-01    1.81e-01      4.82e-01    3.02e-01      4.68e-01    4.61e-01    9.5e-04
    200      1.76e+01    5.52e+00      2.02e-01    4.30e-01      5.27e-01    3.11e-02      6.46e-01    7.86e-01    9.0e-04
    300      1.61e+01    8.23e+00      1.56e-01    3.19e-02      4.97e-01    2.40e-01      5.01e-01    5.03e-01    8.6e-04
    400      1.08e+01    4.29e+00      2.12e-01    4.40e-02      3.19e-01    6.13e-02      6.36e-01    6.68e-01    8.2e-04
    500      7.09e+00    1.15e+01      1.14e-01    2.19e-01      2.19e-01    3.43e-01      3.62e-01    7.59e-01    7.8e-04
    600      5.83e+00    1.79e+01      7.91e-02    1.51e-02      1.80e-01    6.57e-01      3.32e-01    2.69e-01    7.4e-04
    700      8.72e+00    1.04e+01      9.24e-02    1.01e-01      3.10e-01    3.73e-01      3.19e-01    4.02e-01    7.0e-04
    800      8.75e+00    5.09e+00      1.17e-01    2.68e-02      3.22e-01    1.88e-01      3.11e-01    1.44e-01    6.7e-04
    900      8.05e+00    6.97e+00      4.72e-02    1.39e-02      2.97e-01    2.73e-01      4.54e-01    2.08e-01    6.3e-04
   1000      9.84e+00    8.22e+00      2.28e-01    1.45e-01      3.77e-01    3.24e-01      3.39e-01    3.67e-01    6.0e-04
   1100      4.81e+00    2.62e+00      5.64e-02    3.30e-01      1.85e-01    1.87e-02      2.27e-01    3.81e-01    5.7e-04
   1200      8.81e+00    4.85e+00      3.83e-02    1.40e-02      3.60e-01    2.02e-01      2.52e-01    2.29e-01    5.4e-04
   1300      8.59e+00    2.91e+00      1.54e-01    3.93e-01      3.55e-01    1.49e-02      2.81e-01    4.31e-01    5.2e-04
   1400      7.73e+00    5.13e+00      1.80e-02    5.30e-02      3.36e-01    2.14e-01      2.46e-01    4.00e-01    4.9e-04
   1500      5.18e+00    3.14e+00      8.93e-02    5.29e-01      2.07e-01    3.11e-02      3.35e-01    3.62e-01    4.7e-04
   1600      6.17e+00    6.05e+00      5.58e-02    7.01e-02      2.71e-01    2.66e-01      2.97e-01    2.36e-01    4.4e-04
   1700      6.07e+00    5.88e+00      5.36e-02    2.10e-02      2.52e-01    2.71e-01      5.02e-01    2.12e-01    4.2e-04
   1800      7.25e+00    1.64e+01      2.64e-01    1.30e-01      3.28e-01    8.14e-01      3.55e-01    4.62e-02    4.0e-04
