#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn    rmse_v_val  rmse_v_trn         lr
      0      1.60e+01    1.47e+01      1.46e-01    1.18e-01      4.61e-01    4.34e-01      4.40e-01    5.64e-01    1.0e-03
    100      1.12e+01    2.72e+01      2.12e-01    2.06e-01      3.29e-01    8.78e-01      3.64e-01    1.16e-01    9.5e-04
    200      1.69e+01    1.00e+01      1.38e-01    1.97e-02      4.62e-01    3.19e-01      8.09e-01    3.44e-01    9.0e-04
    300      1.01e+01    7.07e+00      1.75e-01    3.56e-01      2.38e-01    8.49e-02      8.45e-01    1.05e+00    8.6e-04
    400      1.82e+01    1.47e+01      3.27e-01    4.30e-01      6.05e-01    4.46e-01      5.31e-01    7.62e-01    8.2e-04
    500      8.99e+00    3.95e+00      1.27e-01    9.47e-02      2.43e-01    8.17e-02      7.14e-01    5.56e-01    7.8e-04
    600      7.80e+00    8.29e+00      1.38e-01    4.58e-02      2.50e-01    2.88e-01      4.86e-01    3.39e-01    7.4e-04
    700      6.91e+00    7.01e+00      6.56e-02    6.21e-02      2.47e-01    2.24e-01      2.65e-01    3.44e-01    7.0e-04
    800      8.60e+00    4.58e+00      1.21e-01    3.85e-01      2.99e-01    5.03e-02      4.76e-01    7.13e-01    6.7e-04
    900      4.09e+00    6.96e+00      6.86e-02    1.04e-01      1.17e-01    2.59e-01      5.02e-01    2.11e-01    6.3e-04
   1000      1.09e+01    9.35e+00      8.67e-02    7.50e-02      4.40e-01    3.73e-01      1.90e-01    2.47e-01    6.0e-04
   1100      7.25e+00    6.21e+00      2.09e-02    1.55e-02      2.89e-01    2.39e-01      2.21e-01    2.40e-01    5.7e-04
   1200      5.63e+00    2.63e+01      8.39e-02    1.23e+00      1.94e-01    1.08e+00      5.44e-01    7.57e-01    5.4e-04
   1300      4.93e+00    4.07e+00      8.66e-03    7.41e-03      2.08e-01    1.66e-01      1.16e-01    1.60e-01    5.2e-04
   1400      1.19e+01    4.52e+00      2.54e-01    1.96e-01      5.07e-01    1.78e-01      3.95e-01    4.03e-01    4.9e-04
   1500      4.69e+00    3.22e+00      1.67e-02    3.82e-02      2.01e-01    1.32e-01      2.10e-01    3.12e-01    4.7e-04
   1600      5.73e+00    4.88e+00      3.97e-02    5.71e-02      2.58e-01    2.18e-01      1.83e-01    2.38e-01    4.4e-04
   1700      9.82e+00    4.55e+00      1.95e-02    6.60e-02      4.69e-01    2.16e-01      1.49e-01    2.00e-01    4.2e-04
   1800      4.94e+00    4.88e+00      2.33e-02    2.35e-02      2.39e-01    2.29e-01      1.12e-01    1.83e-01    4.0e-04
   1900      9.60e+00    4.74e+00      2.65e-02    5.92e-02      4.84e-01    2.12e-01      1.32e-01    3.54e-01    3.8e-04
   2000      8.90e+00    8.47e+00      2.97e-02    4.59e-02      4.51e-01    4.41e-01      2.27e-01    1.59e-01    3.6e-04
   2100      4.22e+00    3.53e+00      6.44e-02    2.38e-02      2.08e-01    1.78e-01      2.03e-01    1.45e-01    3.4e-04
   2200      6.71e+00    5.16e+00      1.93e-01    3.41e-02      3.53e-01    2.77e-01      2.19e-01    1.97e-01    3.3e-04
   2300      3.40e+00    1.40e+00      2.36e-01    3.34e-02      1.32e-01    5.28e-02      2.97e-01    2.42e-01    3.1e-04
   2400      3.45e+00    4.30e+00      5.13e-02    1.87e-02      1.86e-01    2.18e-01      1.66e-01    2.58e-01    3.0e-04
   2500      5.47e+00    2.67e+00      8.65e-02    2.36e-02      3.17e-01    1.56e-01      1.76e-01    6.21e-02    2.8e-04
   2600      5.75e+00    5.60e+00      3.68e-01    4.73e-02      3.24e-01    3.39e-01      3.21e-01    1.70e-01    2.7e-04
   2700      2.55e+00    2.49e+00      5.56e-02    1.06e-02      1.35e-01    1.42e-01      1.51e-01    1.32e-01    2.5e-04
   2800      3.39e+00    3.52e+00      6.26e-02    7.80e-02      1.97e-01    2.09e-01      2.23e-01    3.30e-01    2.4e-04
   2900      4.91e+00    4.17e+00      2.18e-01    5.27e-02      2.90e-01    2.65e-01      2.23e-01    1.92e-01    2.3e-04
   3000      2.41e+00    2.72e+00      8.36e-02    1.13e-02      1.44e-01    1.62e-01      1.47e-01    1.70e-01    2.2e-04
   3100      2.79e+00    3.14e+00      5.03e-02    2.01e-02      1.75e-01    1.83e-01      1.59e-01    2.27e-01    2.1e-04
   3200      3.05e+00    2.07e+00      2.38e-01    8.29e-02      1.85e-01    1.40e-01      1.66e-01    1.37e-01    2.0e-04
