#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn    rmse_v_val  rmse_v_trn         lr
      0      1.12e+01    1.28e+01      3.23e-01    2.89e-01      2.49e-01    2.99e-01      7.10e-01    6.43e-01    1.0e-03
    100      1.06e+01    1.08e+01      1.20e-01    6.36e-02      2.67e-01    3.08e-01      7.20e-01    5.83e-01    9.5e-04
    200      7.84e+00    4.90e+00      1.46e-01    1.94e-01      2.07e-01    7.43e-02      4.65e-01    6.90e-01    9.0e-04
    300      8.97e+00    8.90e+00      7.54e-02    1.31e-01      2.78e-01    2.61e-01      3.57e-01    5.22e-01    8.6e-04
    400      6.11e+00    8.09e+00      1.66e-01    1.46e-01      1.84e-01    2.67e-01      2.33e-01    1.93e-01    8.2e-04
    500      6.91e+00    6.67e+00      1.45e-01    1.08e-01      2.05e-01    2.01e-01      3.15e-01    4.35e-01    7.8e-04
    600      8.04e+00    7.65e+00      4.83e-02    5.05e-02      2.84e-01    2.70e-01      2.03e-01    1.98e-01    7.4e-04
    700      5.58e+00    8.12e+00      8.79e-02    7.05e-02      1.70e-01    2.59e-01      3.50e-01    5.53e-01    7.0e-04
    800      7.23e+00    7.87e+00      8.08e-02    3.35e-02      2.24e-01    2.65e-01      5.50e-01    5.09e-01    6.7e-04
    900      6.87e+00    3.00e+00      6.20e-02    1.64e-01      2.32e-01    2.63e-02      3.99e-01    5.25e-01    6.3e-04
   1000      6.76e+00    4.15e+00      7.97e-02    2.65e-01      2.50e-01    4.34e-02      2.64e-01    7.21e-01    6.0e-04
   1100      4.37e+00    5.22e+00      1.05e-01    6.65e-02      1.44e-01    2.10e-01      3.12e-01    1.27e-01    5.7e-04
   1200      4.37e+00    6.93e+00      2.87e-01    3.01e-02      5.11e-02    2.74e-01      7.82e-01    2.72e-01    5.4e-04
   1300      4.86e+00    4.86e+00      9.56e-02    4.27e-02      1.69e-01    1.87e-01      3.51e-01    2.39e-01    5.2e-04
   1400      4.77e+00    4.25e+00      3.32e-02    1.03e-01      1.76e-01    1.64e-01      3.47e-01    2.99e-01    4.9e-04
   1500      4.43e+00    6.84e+00      1.25e-01    1.65e-02      1.27e-01    2.73e-01      5.49e-01    5.05e-01    4.7e-04
   1600      3.65e+00    4.40e+00      1.04e-01    9.37e-02      1.19e-01    1.70e-01      4.09e-01    3.71e-01    4.4e-04
   1700      5.17e+00    6.96e+00      7.46e-02    1.29e-01      1.91e-01    3.07e-01      5.18e-01    4.27e-01    4.2e-04
   1800      3.52e+00    4.05e+00      2.15e-01    5.69e-02      1.12e-01    1.87e-01      3.62e-01    1.63e-01    4.0e-04
   1900      3.76e+00    2.71e+00      7.57e-02    7.33e-03      1.62e-01    1.27e-01      2.47e-01    1.25e-01    3.8e-04
   2000      4.37e+00    4.59e+00      6.11e-02    1.27e-01      2.05e-01    2.20e-01      2.92e-01    2.70e-01    3.6e-04
   2100      3.80e+00    4.51e+00      5.55e-02    1.25e-01      1.78e-01    1.81e-01      2.59e-01    4.70e-01    3.4e-04
   2200      3.73e+00    3.11e+00      7.52e-02    2.22e-02      1.84e-01    1.51e-01      2.15e-01    1.76e-01    3.3e-04
   2300      3.58e+00    2.86e+00      3.09e-02    1.13e-01      1.79e-01    1.52e-01      2.12e-01    1.20e-01    3.1e-04
   2400      3.31e+00    3.27e+00      4.65e-02    2.32e-02      1.77e-01    1.89e-01      1.71e-01    3.65e-02    3.0e-04
   2500      3.47e+00    4.34e+00      2.72e-02    2.33e-02      1.78e-01    2.40e-01      2.55e-01    1.98e-01    2.8e-04
   2600      3.20e+00    3.43e+00      9.32e-02    1.18e-01      1.63e-01    1.91e-01      2.90e-01    2.13e-01    2.7e-04
   2700      3.15e+00    1.01e+00      3.21e-02    7.66e-02      1.80e-01    2.57e-02      1.84e-01    2.15e-01    2.5e-04
   2800      3.78e+00    2.90e+00      6.79e-02    1.43e-01      2.18e-01    1.64e-01      2.37e-01    1.97e-01    2.4e-04
   2900      3.20e+00    1.10e+00      3.82e-02    6.82e-02      1.95e-01    3.23e-02      1.63e-01    2.42e-01    2.3e-04
   3000      1.99e+00    2.68e+00      3.42e-02    1.06e-01      1.03e-01    1.68e-01      1.90e-01    1.49e-01    2.2e-04
   3100      1.85e+00    3.01e+00      4.71e-02    1.23e-01      1.13e-01    1.92e-01      1.28e-01    1.77e-01    2.1e-04
   3200      2.23e+00    2.95e+00      3.92e-02    2.59e-02      1.29e-01    1.98e-01      2.00e-01    1.76e-01    2.0e-04
   3300      2.61e+00    2.28e+00      3.80e-02    5.90e-02      1.59e-01    1.60e-01      2.14e-01    1.00e-01    1.9e-04
   3400      1.63e+00    1.07e+00      7.41e-02    1.99e-01      9.16e-02    3.79e-02      1.55e-01    1.59e-01    1.8e-04
   3500      2.78e+00    2.66e+00      2.15e-02    1.06e-02      1.84e-01    1.96e-01      1.98e-01    1.36e-01    1.7e-04
   3600      2.09e+00    9.55e-01      2.60e-02    1.04e-01      1.32e-01    3.13e-02      2.03e-01    2.16e-01    1.6e-04
   3700      2.56e+00    2.12e+00      2.17e-02    4.36e-02      1.80e-01    1.61e-01      1.96e-01    1.35e-01    1.5e-04
   3800      2.62e+00    2.14e+00      1.72e-02    1.07e-02      1.86e-01    1.50e-01      2.08e-01    1.64e-01    1.5e-04
   3900      1.83e+00    1.91e+00      1.23e-01    2.16e-02      1.26e-01    1.46e-01      1.75e-01    1.18e-01    1.4e-04
   4000      1.58e+00    2.07e+00      1.06e-01    9.75e-02      1.08e-01    1.65e-01      1.82e-01    1.29e-01    1.3e-04
   4100      2.26e+00    1.69e+00      1.07e-01    1.09e-02      1.75e-01    1.44e-01      1.93e-01    6.85e-02    1.2e-04
   4200      1.81e+00    8.59e-01      1.13e-01    2.13e-01      1.24e-01    1.82e-02      2.00e-01    1.18e-01    1.2e-04
   4300      2.25e+00    1.75e+00      1.09e-01    1.02e-02      1.90e-01    1.55e-01      1.69e-01    1.09e-01    1.1e-04
