#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn    rmse_v_val  rmse_v_trn         lr
      0      1.91e+01    1.85e+01      1.63e+00    1.49e+00      1.95e-01    3.40e-01      4.95e-01    7.69e-01    1.0e-03
    100      1.15e+01    9.57e+00      1.17e-01    1.84e-01      3.26e-01    2.42e-01      5.59e-01    6.58e-01    9.5e-04
    200      1.51e+01    1.09e+01      1.01e-01    2.76e-02      4.50e-01    3.48e-01      8.00e-01    3.54e-01    9.0e-04
    300      6.07e+00    7.14e+00      1.43e-01    6.09e-03      1.24e-01    2.39e-01      6.33e-01    1.25e-01    8.6e-04
    400      5.66e+00    5.65e+00      1.21e-01    4.03e-01      1.33e-01    3.28e-02      4.69e-01    8.64e-01    8.2e-04
    500      8.81e+00    4.40e+00      2.44e-01    1.94e-01      2.65e-01    6.11e-02      6.08e-01    6.81e-01    7.8e-04
    600      5.62e+00    6.49e+00      9.29e-02    3.51e-02      1.58e-01    2.32e-01      3.84e-01    1.43e-01    7.4e-04
    700      6.78e+00    5.97e+00      1.08e-01    1.30e-01      2.08e-01    1.63e-01      4.87e-01    5.13e-01    7.0e-04
    800      7.31e+00    5.53e+00      5.42e-02    5.63e-02      2.47e-01    1.95e-01      3.87e-01    2.96e-01    6.7e-04
    900      8.05e+00    6.18e+00      1.75e-01    1.53e-01      2.47e-01    2.26e-01      6.34e-01    1.77e-01    6.3e-04
   1000      3.71e+00    4.93e+00      2.32e-01    2.95e-02      4.46e-02    1.88e-01      6.26e-01    1.70e-01    6.0e-04
   1100      7.70e+00    4.86e+00      1.80e-01    2.92e-01      2.41e-01    1.05e-01      5.29e-01    7.55e-01    5.7e-04
   1200      5.63e+00    5.87e+00      9.05e-02    5.61e-02      1.99e-01    2.07e-01      4.32e-01    4.64e-01    5.4e-04
   1300      4.09e+00    3.55e+00      3.52e-02    8.86e-02      1.53e-01    5.64e-02      2.69e-01    6.62e-01    5.2e-04
   1400      4.30e+00    2.51e+00      4.85e-02    1.39e-01      1.73e-01    3.92e-02      1.82e-01    4.64e-01    4.9e-04
   1500      4.31e+00    5.05e+00      5.09e-02    9.95e-02      1.64e-01    1.77e-01      3.00e-01    4.76e-01    4.7e-04
   1600      5.08e+00    1.85e+00      1.06e-01    6.42e-02      1.73e-01    2.35e-02      5.16e-01    3.72e-01    4.4e-04
   1700      3.22e+00    2.56e+00      6.89e-02    6.12e-02      1.21e-01    6.54e-02      2.69e-01    4.65e-01    4.2e-04
   1800      4.25e+00    2.43e+00      7.86e-02    1.44e-01      1.66e-01    5.91e-02      3.53e-01    4.41e-01    4.0e-04
   1900      3.73e+00    1.33e+00      7.19e-02    1.09e-01      1.64e-01    4.63e-03      2.51e-01    2.74e-01    3.8e-04
   2000      2.94e+00    1.82e+00      2.61e-02    7.87e-02      1.31e-01    1.16e-02      1.84e-01    4.00e-01    3.6e-04
   2100      3.74e+00    2.17e+00      8.56e-02    1.75e-01      1.68e-01    6.89e-02      2.59e-01    3.63e-01    3.4e-04
   2200      2.81e+00    3.84e+00      4.19e-02    1.94e-02      1.27e-01    1.92e-01      2.27e-01    1.94e-01    3.3e-04
   2300      3.63e+00    4.03e+00      4.33e-02    1.80e-02      1.73e-01    2.08e-01      2.94e-01    2.77e-01    3.1e-04
   2400      4.79e+00    4.07e+00      6.48e-02    3.90e-02      1.42e-01    1.80e-01      5.18e-01    4.43e-01    3.0e-04
   2500      4.10e+00    1.71e+00      4.03e-02    9.83e-02      2.19e-01    6.71e-02      2.39e-01    2.96e-01    2.8e-04
   2600      2.58e+00    3.33e+00      5.25e-02    1.77e-02      1.35e-01    1.92e-01      1.68e-01    1.88e-01    2.7e-04
   2700      3.26e+00    3.35e+00      9.43e-02    9.87e-03      1.73e-01    2.00e-01      3.01e-01    1.75e-01    2.5e-04
   2800      3.19e+00    3.48e+00      6.14e-02    1.05e-02      1.83e-01    2.13e-01      2.47e-01    1.88e-01    2.4e-04
   2900      2.84e+00    1.80e+00      1.58e-02    4.83e-03      1.59e-01    1.14e-01      2.11e-01    6.18e-02    2.3e-04
   3000      2.47e+00    2.87e+00      1.59e-02    9.04e-03      1.52e-01    1.61e-01      1.34e-01    2.14e-01    2.2e-04
   3100      3.13e+00    2.92e+00      3.36e-02    1.36e-02      2.02e-01    1.75e-01      1.57e-01    1.97e-01    2.1e-04
   3200      2.49e+00    9.40e-01      1.00e-02    1.59e-01      1.54e-01    2.48e-02      1.79e-01    1.67e-01    2.0e-04
   3300      2.40e+00    1.40e+00      5.96e-02    7.24e-02      1.34e-01    4.90e-02      3.02e-01    3.20e-01    1.9e-04
   3400      3.28e+00    3.12e+00      3.38e-02    8.31e-03      2.14e-01    2.02e-01      2.52e-01    2.19e-01    1.8e-04
   3500      2.02e+00    2.52e+00      3.71e-02    1.84e-02      1.28e-01    1.82e-01      1.90e-01    1.62e-01    1.7e-04
   3600      2.53e+00    2.73e+00      2.70e-02    4.02e-02      1.58e-01    1.93e-01      2.60e-01    2.28e-01    1.6e-04
   3700      2.03e+00    2.52e+00      1.66e-02    5.39e-02      1.44e-01    1.89e-01      1.31e-01    1.69e-01    1.5e-04
   3800      2.33e+00    1.24e+00      7.40e-02    2.93e-02      1.53e-01    4.74e-02      2.51e-01    3.08e-01    1.5e-04
   3900      3.31e+00    2.22e+00      3.51e-02    7.44e-02      2.50e-01    1.67e-01      2.49e-01    1.88e-01    1.4e-04
   4000      9.73e-01    3.22e+00      8.19e-02    9.54e-02      2.74e-02    2.62e-01      2.36e-01    2.09e-01    1.3e-04
   4100      2.17e+00    1.80e+00      4.59e-02    4.05e-03      1.66e-01    1.39e-01      2.12e-01    1.33e-01    1.2e-04
   4200      1.74e+00    9.77e-01      2.51e-02    1.19e-01      1.36e-01    4.98e-02      1.41e-01    2.03e-01    1.2e-04
   4300      1.76e+00    2.97e+00      7.64e-03    1.70e-02      1.47e-01    2.39e-01      1.01e-01    2.28e-01    1.1e-04
   4400      2.32e+00    1.74e+00      3.92e-02    9.50e-02      1.82e-01    1.50e-01      2.26e-01    1.31e-01    1.1e-04
   4500      2.19e+00    2.07e+00      6.81e-02    6.47e-02      1.96e-01    1.82e-01      1.71e-01    1.82e-01    1.0e-04
