#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       3.223579e-02       8.356648e-03       2.704632e-02       3.972552e-01       9.348721e-02       2.530919e-01
         500       1.249421e+00       5.601806e-02       4.936077e-01       1.623870e+00       6.041273e-01       1.174852e+00
        1000       9.911430e-01       1.696568e-01       4.512844e-01       1.389692e+00       3.711184e-01       7.668562e-01
        1500       1.288158e+00       6.085120e-02       5.920549e-01       1.248057e+00       2.528947e-01       6.282191e-01
        2000       1.315383e+00       1.260148e-01       6.218437e-01       8.436307e-01       3.286867e-01       5.903773e-01
        2500       1.311096e+00       9.968618e-02       6.080770e-01       8.284653e-01       2.250231e-01       5.676341e-01
        3000       1.321279e+00       3.748112e-02       6.025812e-01       1.061629e+00       1.944587e-01       5.624593e-01
        3500       1.358190e+00       5.242545e-02       6.346955e-01       1.220177e+00       2.343786e-01       7.019766e-01
        4000       1.245783e+00       8.982484e-02       5.689138e-01       1.322660e+00       3.192707e-01       7.427071e-01
        4500       1.343478e+00       5.315402e-02       6.063278e-01       7.719032e-01       1.509867e-01       4.577899e-01
        5000       1.243188e+00       8.495294e-02       5.900472e-01       1.316646e+00       1.398414e-01       5.698141e-01
        5500       1.287447e+00       3.666317e-02       6.007283e-01       1.016705e+00       3.162305e-01       6.408438e-01
        6000       1.391346e+00       9.814533e-02       6.381822e-01       1.283073e+00       2.774809e-01       5.562415e-01
