#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       4.201768e-02       1.857199e-02       3.092951e-02       3.392467e-01       8.754360e-02       2.082054e-01
         500       1.276702e+00       2.494930e-01       5.944771e-01       1.852555e+00       3.960171e-01       1.070337e+00
        1000       1.478597e+00       1.476799e-02       5.512385e-01       7.970873e-01       2.033912e-01       5.137758e-01
        1500       1.388684e+00       3.485241e-02       5.679410e-01       1.403475e+00       1.846950e-01       6.589766e-01
        2000       1.641904e+00       9.628167e-03       6.378766e-01       1.194361e+00       2.888780e-01       6.578667e-01
        2500       2.567400e+00       9.682616e-03       8.702059e-01       7.527675e-01       3.189566e-01       4.797559e-01
        3000       2.585040e+00       3.369174e-03       8.850607e-01       1.131842e+00       3.149063e-01       5.635737e-01
        3500       2.713478e+00       7.447819e-03       9.262175e-01       9.991073e-01       1.850995e-01       5.550833e-01
        4000       2.669494e+00       5.906487e-03       9.083582e-01       1.029737e+00       2.317796e-01       5.779012e-01
        4500       2.603382e+00       3.431941e-03       8.864823e-01       1.012485e+00       1.483087e-01       6.249077e-01
        5000       2.628223e+00       3.706294e-03       8.907977e-01       9.719453e-01       1.223948e-01       5.428241e-01
        5500       2.741990e+00       2.792457e-03       9.356804e-01       1.512272e+00       2.037074e-01       6.692858e-01
        6000       2.567018e+00       3.261360e-02       8.782095e-01       1.123316e+00       2.277174e-01       6.284010e-01
