#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       2.425118e-02       7.865188e-05       1.184441e-02       3.215879e-02       2.617897e-02       2.828478e-02
         500       5.266275e-01       9.682510e-03       2.862527e-01       7.785693e-01       4.678383e-01       6.241692e-01
        1000       4.693374e-01       6.060097e-04       2.625382e-01       6.069311e-01       4.825014e-01       5.482258e-01
        1500       5.743269e-01       1.070216e-02       3.061434e-01       8.088658e-01       4.178866e-01       6.140390e-01
        2000       4.894037e-01       7.195922e-04       2.726209e-01       6.814759e-01       4.593604e-01       5.734055e-01
        2500       5.034335e-01       5.103750e-03       2.777690e-01       7.896700e-01       4.820549e-01       6.368917e-01
        3000       5.378371e-01       4.810220e-03       2.831824e-01       8.418536e-01       4.410344e-01       6.466628e-01
        3500       3.847781e-01       4.406078e-03       2.153899e-01       6.739304e-01       6.081975e-01       6.426619e-01
        4000       5.272596e-01       1.248564e-02       2.691028e-01       8.398333e-01       4.540561e-01       6.494168e-01
        4500       3.471020e-01       4.275911e-04       1.967416e-01       7.397922e-01       6.522480e-01       6.991400e-01
        5000       5.071666e-01       9.610045e-03       2.818674e-01       8.146382e-01       4.504124e-01       6.381854e-01
        5500       4.721297e-01       9.395355e-03       2.587206e-01       8.171323e-01       5.156504e-01       6.678938e-01
        6000       4.840335e-01       4.764841e-03       2.620787e-01       6.006364e-01       4.685129e-01       5.369924e-01
